validation_set,score,row_count,eval_count,old_mae,new_mae,mae_delta_new_minus_old,old_rmse,new_rmse,rmse_delta_new_minus_old,old_r2,new_r2,r2_delta_new_minus_old,old_mean_pred,new_mean_pred,mean_true,old_bias,new_bias,new_better_by_mae,new_better_by_rmse
human_verified_150,digital_affinity_score,150,150,9.42,9.43888581409692,0.018885814096920583,11.481869766433224,12.098624316626884,0.6167545501936598,0.6692269495091735,0.6327372616569336,-0.03648968785223994,48.44,54.20104790524005,53.07333333333333,-4.633333333333334,1.1277145719067223,False,False
human_verified_150,price_sensitivity_score,150,150,11.213333333333333,8.762479171542815,-2.4508541617905184,14.1124058898545,11.151332127275714,-2.9610737625787866,0.10271833633555227,0.439752177819144,0.3370338414835917,60.13333333333333,55.54891513993758,51.693333333333335,8.44,3.855581806604256,True,True
human_verified_150,trust_sensitivity_score,150,150,10.48,6.269606440330666,-4.210393559669335,12.381706936713801,8.524164706150597,-3.8575422305632046,-0.5637289590870949,0.2588534292667518,0.8225823883538467,64.80666666666667,58.90125612936212,55.913333333333334,8.893333333333333,2.9879227960287795,True,True
human_verified_150,convenience_need_score,150,150,8.2,8.311850895991356,0.11185089599135623,10.236535872387039,10.569706886616121,0.333171014229082,0.43259390285724597,0.3950578289859019,-0.037536073871344056,50.00666666666667,49.55206085489293,47.7,2.3066666666666666,1.8520608548929358,False,False
human_verified_150,quality_sensitivity_score,150,150,9.26,8.72451877941293,-0.5354812205870694,11.713524946260485,11.082537210816454,-0.6309877354440303,0.22466164416486412,0.3059440979436938,0.0812824537788297,70.74666666666667,67.68757869819501,65.42,5.326666666666667,2.267578698195014,True,True
human_verified_150,novelty_acceptance_score,150,150,9.18,9.568588579359675,0.3885885793596753,10.98271369015873,11.700240636316256,0.7175269461575251,0.6636181864695174,0.6182291443990293,-0.045389042070488106,45.99333333333333,46.32925415544818,47.29333333333334,-1.3,-0.9640791778851538,False,False
human_verified_150,local_affinity_score,150,150,14.873333333333333,5.204402305135636,-9.668931028197697,16.40751860174678,6.924314243701278,-9.483204358045501,-1.9809923993220218,0.4690805983519567,2.4500729976739786,61.39333333333333,76.63450136461346,76.16,-14.766666666666667,0.474501364613469,True,True
human_verified_150,family_decision_score,150,150,9.926666666666666,10.12264930457863,0.19598263791196402,12.356105103685925,12.538387706674403,0.18228260298847765,0.6768730503291283,0.6672689099917791,-0.009604140337349132,67.64,66.75498915451712,65.88666666666667,1.7533333333333334,0.8683224878504492,False,False
human_verified_150,health_safety_sensitivity_score,150,150,9.133333333333333,9.635410163838312,0.5020768305049792,11.512312249645305,12.309918208903833,0.7976059592585276,0.5425783334603949,0.47699969091475003,-0.06557864254564483,59.193333333333335,60.27547267071429,58.00666666666667,1.1866666666666668,2.2688060040476223,False,False
human_verified_150,review_dependency_score,150,150,17.913333333333334,9.16642742504808,-8.746905908285253,22.372453300133774,11.780882231657632,-10.591571068476142,-1.7963661157952338,0.22460599354155575,2.0209721093367894,59.26,43.66805134039261,41.81333333333333,17.446666666666665,1.8547180070592761,True,True
